,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3270,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0
3924,2,3,1,6,14,11,18,16,13,17,8,8,9,6,8,1,5,12,3,5,3,0,9,10,14,0,0,0,0
4379,1,0,0,0,0,0,0,0,0,0,0,2,1,4,0,1,1,4,5,0,0,0,1,0,5,4,0,6,0
4603,1,0,0,0,0,0,0,0,0,3,5,0,1,5,4,0,1,1,3,0,1,1,0,0,0,5,0,2,2
4648,4,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
5311,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
7307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7415,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1
7560,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,6,2,3,3
8758,2,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9497,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10882,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11438,4,0,6,0,1,0,4,0,9,2,2,0,2,2,0,3,0,0,0,2,0,0,6,5,0,0,0,0,0
11710,2,2,1,0,1,0,0,0,0,0,2,5,1,0,0,1,0,0,0,0,8,0,1,5,0,0,0,0,0
12532,3,1,0,1,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0
14501,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,2,0
14726,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0
14931,1,0,0,0,0,0,0,0,3,4,4,1,2,0,0,5,0,0,0,0,4,2,2,10,5,0,0,0,1
15402,3,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
16081,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,4,0,5,11,2,8,0,0,0
17579,6,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19745,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20650,2,1,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,4,0,0
23320,1,0,0,0,0,0,3,1,0,3,0,1,7,4,4,3,6,1,9,0,2,23,2,2,3,8,6,8,6
23322,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23524,3,1,3,0,1,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,1,0
26065,3,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,3,3,0,0,6,0,0,12,0,2,0,1,3
26775,1,0,0,0,0,0,0,0,3,0,6,0,0,3,0,0,1,1,4,1,3,2,14,1,0,6,2,5,0
27255,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
